"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,33.252197
0,6,65.87178
0,9,92.87474
0,12,115.66156
0,15,135.81206
0,18,121.1584
0,21,106.204216
0,24,96.32926
0,27,90.36296
0,30,86.84317
0,33,84.73838
0,36,83.423355
0,39,82.54246
0,42,81.89705
0,45,81.37973
0,48,80.93149
0,51,80.52059
0,54,80.12964
0,57,79.74893
0,60,79.37361
0,63,79.00135
0,66,78.6307
0,69,78.260666
0,72,77.890785
0,75,77.52077
0,78,77.15073
0,81,76.780975
0,84,76.41162
0,87,76.0427
0,90,75.67414
0,93,75.30598
0,96,74.93835
0,99,74.57135
0,102,74.20505
0,105,73.83952
0,108,73.47485
0,111,73.11107
0,114,72.74825
0,117,72.38642
0,120,72.025635
0,135,70.23863
0,150,68.4829
0,165,66.761444
0,180,65.07606
0,195,63.427773
0,210,61.81712
0,225,60.244213
0,240,58.708862
0,255,57.21069
0,270,55.749176
0,285,54.323723
0,300,52.933678
0,315,51.57834
0,330,50.25698
0,345,48.96885
0,360,47.713184
0,375,46.489227
0,390,45.296234
0,405,44.133465
0,420,43.0002
0,435,41.89572
0,450,40.81934
0,465,39.77037
0,480,38.74813
0,495,37.751972
0,510,36.781246
0,525,35.83532
0,540,34.913578
0,555,34.015415
0,570,33.140244
0,585,32.287495
0,600,31.456604
0,615,30.647022
0,630,29.85822
0,645,29.089672
0,660,28.340868
0,675,27.611315
0,690,26.900526
0,705,26.208027
0,720,25.533356
0,735,24.87606
0,750,24.2357
0,765,23.611847
0,780,23.004082
0,795,22.411993
0,810,21.835184
0,825,21.273266
0,840,20.725857
0,855,20.192589
0,870,19.6731
0,885,19.167038
0,900,18.674059
0,915,18.19383
0,930,17.726023
0,945,17.270319
0,960,16.82641
0,975,16.393991
0,990,15.972768
0,1005,15.562453
0,1020,15.162765
0,1035,14.773429
0,1050,14.39418
0,1065,14.024758
0,1080,13.664909
0,1095,13.314386
0,1110,12.972948
0,1125,12.640361
0,1140,12.316396
0,1155,12.000829
0,1170,11.693443
0,1185,11.394029
0,1200,11.102376
0,1215,10.818286
0,1230,10.541562
0,1245,10.272014
0,1260,10.009455
0,1275,9.753703
0,1290,9.504582
0,1305,9.261921
0,1320,9.02555
0,1335,8.795307
0,1350,8.571032
0,1365,8.352571
0,1380,8.1397705
0,1395,7.9324856
0,1410,7.7305717
0,1425,7.5338893
0,1440,7.342302
