"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Cervicovaginal fluid|Metronidazole|Concentration in container [µmol/l]"
0,0,0,0
0,3,0,0
0,6,0,0
0,9,0,0
0,12,0,0
0,15,9.396E-42,1.4E-44
0,18,8.2302754E-38,1.29725E-40
0,21,1.653732E-34,2.7117805E-37
0,24,2.1544423E-31,3.4192906E-34
0,27,3.5908035E-28,7.168615E-31
0,30,2.6880842E-25,6.800486E-28
0,33,3.093801E-23,8.111605E-26
0,36,3.4288248E-21,9.219605E-24
0,39,2.0368861E-19,5.6125043E-22
0,42,4.1061878E-17,1.536795E-19
0,45,1.9317336E-15,7.562472E-18
0,48,4.5522136E-14,1.8576704E-16
0,51,9.534732E-13,3.937611E-15
0,54,9.076308E-12,3.5669764E-14
0,57,1.00181745E-10,3.4193042E-13
0,60,1.3174357E-09,4.1209974E-12
0,63,1.8054868E-08,5.5595407E-11
0,66,2.2858964E-07,7.2455175E-10
0,69,2.5944482E-06,8.568607E-09
0,72,2.6465961E-05,9.1198004E-08
0,75,0.00024483434,8.794748E-07
0,78,0.0020694127,7.740949E-06
0,81,0.016075343,6.257949E-05
0,84,0.114808865,0.00046609904
0,87,0.7331604,0.003159722
0,90,3.6219265,0.018062174
0,93,10.345768,0.07255991
0,96,17.715769,0.19340616
0,99,23.603859,0.3878129
0,102,28.017288,0.6517224
0,105,31.339844,0.97677547
0,108,33.896015,1.3533597
0,111,35.9077,1.7720145
0,114,37.51829,2.2240365
0,117,38.82192,2.7017376
0,120,39.88292,3.1984723
0,135,42.816257,5.79906
0,150,43.568752,8.336276
0,165,43.372482,10.658454
0,180,42.774944,12.735528
0,195,42.018467,14.580026
0,210,41.199528,16.215185
0,225,40.3614,17.663567
0,240,39.52792,18.944818
0,255,38.709057,20.07574
0,270,37.909565,21.070763
0,285,37.131783,21.94248
0,300,36.37683,22.702074
0,315,35.645138,23.35961
0,330,34.936714,23.924217
0,345,34.251297,24.404232
0,360,33.588425,24.807287
0,375,32.947517,25.140385
0,390,32.327904,25.409946
0,405,31.728857,25.621874
0,420,31.149609,25.781582
0,435,30.58873,25.89403
0,450,30.043259,25.963676
0,465,29.513351,25.994535
0,480,28.998594,25.990322
0,495,28.496386,25.954443
0,510,28.003265,25.88983
0,525,27.52002,25.799091
0,540,27.046394,25.684671
0,555,26.58206,25.54884
0,570,26.126707,25.393684
0,585,25.680037,25.221132
0,600,25.241764,25.032957
0,615,24.811625,24.83079
0,630,24.38936,24.616127
0,645,23.97473,24.390345
0,660,23.567503,24.154709
0,675,23.167461,23.910378
0,690,22.774397,23.658417
0,705,22.38811,23.3998
0,720,22.00841,23.135422
0,735,21.635105,22.866102
0,750,21.267855,22.592585
0,765,20.90663,22.315546
0,780,20.551434,22.035614
0,795,20.202349,21.753372
0,810,23.48299,21.487421
0,825,50.9064,22.161945
0,840,59.14685,24.101095
0,855,61.776226,26.42045
0,870,62.2263,28.677414
0,885,61.73019,30.720316
0,900,60.836113,32.519165
0,915,59.776722,34.086445
0,930,58.655415,35.444927
0,945,57.522198,36.617336
0,960,56.39835,37.623684
0,975,55.293606,38.481033
0,990,54.212624,39.204018
0,1005,53.157665,39.805412
0,1020,52.12977,40.29655
0,1035,51.129242,40.68763
0,1050,50.152668,40.987843
0,1065,49.198776,41.205364
0,1080,48.2683,41.34768
0,1095,47.361042,41.421703
0,1110,46.47668,41.433823
0,1125,45.614845,41.389927
