"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,33.251564
0,6,65.87168
0,9,92.87515
0,12,115.66236
0,15,135.8132
0,18,121.16051
0,21,106.20612
0,24,96.331024
0,27,90.364716
0,30,86.84498
0,33,84.74027
0,36,83.42534
0,39,82.54453
0,42,81.89922
0,45,81.38198
0,48,80.93382
0,51,80.52301
0,54,80.132126
0,57,79.751495
0,60,79.37624
0,63,79.00406
0,66,78.63347
0,69,78.26351
0,72,77.8937
0,75,77.52374
0,78,77.15377
0,81,76.78408
0,84,76.41479
0,87,76.04593
0,90,75.67743
0,93,75.30933
0,96,74.94176
0,99,74.57482
0,102,74.20858
0,105,73.84312
0,108,73.47851
0,111,73.11477
0,114,72.752014
0,117,72.390236
0,120,72.0295
0,135,70.24277
0,150,68.48728
0,165,66.76606
0,180,65.08089
0,195,63.432808
0,210,61.822346
0,225,60.24962
0,240,58.714436
0,255,57.216415
0,270,55.755043
0,285,54.329723
0,300,52.9398
0,315,51.58457
0,330,50.263317
0,345,48.975277
0,360,47.719696
0,375,46.495815
0,390,45.302887
0,405,44.14018
0,420,43.006966
0,435,41.902534
0,450,40.82619
0,465,39.777252
0,480,38.755043
0,495,37.758904
0,510,36.78819
0,525,35.84227
0,540,34.920532
0,555,34.02237
0,570,33.147198
0,585,32.294437
0,600,31.463531
0,615,30.653933
0,630,29.865107
0,645,29.096535
0,660,28.347704
0,675,27.61812
0,690,26.907297
0,705,26.21476
0,720,25.540049
0,735,24.882711
0,750,24.242308
0,765,23.618408
0,780,23.010593
0,795,22.418455
0,810,21.841593
0,825,21.279621
0,840,20.732157
0,855,20.198832
0,870,19.679285
0,885,19.173162
0,900,18.680124
0,915,18.199835
0,930,17.731966
0,945,17.2762
0,960,16.832226
0,975,16.399744
0,990,15.978455
0,1005,15.568074
0,1020,15.16832
0,1035,14.778918
0,1050,14.399603
0,1065,14.030114
0,1080,13.670198
0,1095,13.319609
0,1110,12.978104
0,1125,12.64545
0,1140,12.321417
0,1155,12.005783
0,1170,11.698331
0,1185,11.398849
0,1200,11.10713
0,1215,10.822974
0,1230,10.546184
0,1245,10.276569
0,1260,10.013945
0,1275,9.758128
0,1290,9.508943
0,1305,9.266217
0,1320,9.029782
0,1335,8.799476
0,1350,8.575138
0,1365,8.356613
0,1380,8.143752
0,1395,7.936405
0,1410,7.7344303
0,1425,7.5376873
0,1440,7.3460402
