"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Myometrium|Metronidazole|Tissue [µmol/l]","Organism|Endometrium|Metronidazole|Tissue [µmol/l]"
0,1590,79.269455,57.386875,56.969288
0,1605,77.74083,56.178463,55.783638
0,1620,76.234436,55.027863,54.650063
0,1635,74.75506,53.921597,53.557228
0,1650,73.30493,52.851433,52.498325
0,1665,71.885124,51.812412,51.469254
0,1680,70.49611,50.801506,50.467476
0,1695,69.13802,49.816776,49.49132
0,1710,67.81077,48.856873,48.539608
0,1725,66.51409,47.920807,47.61142
0,1740,65.247635,47.00777,46.70601
0,1755,64.01095,46.11708,45.822723
0,1770,62.80355,45.248123,44.960968
0,1785,61.624912,44.400333,44.12019
0,1800,60.474476,43.57318,43.299873
0,1815,59.351204,42.765827,42.498753
0,1830,58.252327,41.975845,41.714546
0,1845,57.178078,41.203434,40.94806
0,1860,56.128277,40.448666,40.19916
0,1875,55.10257,39.71131,39.467594
0,1890,54.100567,38.991096,38.753067
0,1905,53.12187,38.28772,38.05527
0,1920,52.16454,37.599754,37.371655
0,1935,58.401867,42.436787,46.2074
0,1950,73.48726,55.696766,59.85952
0,1965,83.92173,64.664276,66.595985
0,1980,88.37265,67.59422,67.9119
0,1995,89.34643,67.2967,66.94172
0,2010,88.73061,65.8737,65.33489
0,2025,87.464615,64.23778,63.693985
0,2040,85.95426,62.67566,62.171295
0,2055,84.364235,61.23673,60.77248
0,2070,82.76003,59.90337,59.47034
0,2085,81.16792,58.649006,58.23892
0,2100,79.59878,57.452988,57.0601
0,2115,78.05736,56.30182,55.92253
0,2130,76.54588,55.187252,54.819397
0,2145,75.065414,54.10433,53.746586
0,2160,73.61642,53.050007,52.701553
0,2175,72.199005,52.022335,51.682617
0,2190,70.81307,51.019962,50.688583
0,2205,69.45836,50.041878,49.71853
0,2220,68.134476,49.087273,48.771694
0,2235,66.84097,48.155445,47.847416
0,2250,65.57735,47.245773,46.945084
0,2265,64.343056,46.35768,46.064144
0,2280,63.137527,45.49063,45.204063
0,2295,61.95971,44.64377,44.363567
0,2310,60.806828,43.814674,43.54037
0,2325,59.679096,43.003525,42.73527
0,2340,58.576332,42.210384,41.94813
0,2355,57.49817,41.43503,41.178684
0,2370,56.444218,40.677177,40.426643
0,2385,55.41407,39.936527,39.691696
0,2400,54.40582,39.21167,38.971336
0,2415,60.59339,44.012672,47.771626
0,2430,75.63206,57.239037,61.39106
0,2445,86.02076,66.17393,68.09511
0,2460,90.42713,69.0721,69.379135
0,2475,91.356804,68.74286,68.377335
0,2490,90.69764,67.28862,66.73947
0,2505,89.38912,65.622055,65.06813
0,2520,87.83712,64.02993,63.515648
0,2535,86.20631,62.561634,62.08768
0,2550,84.56219,61.19954,60.75701
0,2565,82.93101,59.917057,59.49768
0,2580,81.32362,58.693523,58.291546
0,2595,79.744774,57.51543,57.127247
0,2610,78.19668,56.374516,55.997955
0,2625,76.68037,55.265812,54.89955
0,2640,75.196304,54.18626,53.82947
0,2655,73.744576,53.133904,52.78603
0,2670,72.325066,52.107376,51.768017
0,2685,70.93749,51.105656,50.7745
0,2700,69.58147,50.127926,49.804714
0,2715,68.25651,49.173477,48.857975
0,2730,66.96211,48.241673,47.93367
0,2745,65.69771,47.33193,47.031235
0,2760,64.46273,46.44369,46.150127
0,2775,63.256104,45.57611,45.289066
0,2790,62.07503,44.726738,44.44574
0,2805,60.91972,43.895756,43.620953
0,2820,59.78998,43.083214,42.814552
0,2835,58.685432,42.288883,42.02627
0,2850,57.605667,41.51247,41.255802
0,2865,56.55027,40.75366,40.50283
0,2880,55.51733,40.011047,39.764835
0,2895,61.681095,44.794945,48.548386
0,2910,76.69731,58.005314,62.1521
0,2925,87.06414,66.92464,68.840645
0,2940,91.44894,69.807365,70.109276
0,2955,92.35737,69.46287,69.09228
0,2970,91.677185,67.99342,67.439354
0,2985,90.34826,66.31221,65.753426
0,3000,88.77622,64.70567,64.18662
0,3015,87.12572,63.2232,62.74457
0,3030,85.46233,61.847237,61.400135
0,3045,83.81229,60.551178,60.12731
0,3060,82.18642,59.31434,58.907967
0,3075,80.58947,58.12322,57.730732
0,3090,79.02365,56.969547,56.588768
0,3105,77.48998,55.84835,55.47796
0,3120,75.988914,54.75657,54.395737
0,3135,74.520546,53.692234,53.3404
0,3150,73.08475,52.653976,52.310745
0,3165,71.68121,51.64078,51.305832
0,3180,70.30956,50.65181,50.324883
0,3195,68.96932,49.686356,49.367218
0,3210,67.65995,48.74378,48.432217
0,3225,66.38089,47.823486,47.51931
0,3240,65.13156,46.924927,46.627953
0,3255,63.91088,46.047234,45.756847
0,3270,62.716064,45.187973,44.9037
0,3285,61.547295,44.347305,44.069298
0,3300,60.404377,43.525284,43.25349
0,3315,59.28693,42.721672,42.455994
0,3330,58.19454,41.936176,41.676506
0,3345,57.126785,41.168476,40.914707
0,3360,56.08175,40.417156,40.168083
0,3375,62.23385,45.19267,48.943413
0,3390,77.23913,58.395313,62.53956
0,3405,87.595406,67.307175,69.22044
0,3420,91.969475,70.1821,70.48136
0,3435,92.86742,69.83,69.456955
0,3450,92.17709,68.35335,67.7968
0,3465,90.83804,66.66481,66.103615
0,3480,89.25609,65.051125,64.52972
0,3495,87.59592,63.561695,63.080757
0,3510,85.92304,62.17889,61.729523
0,3525,84.26368,60.87612,60.450043
0,3540,82.628685,59.632717,59.22417
0,3555,81.022804,58.43516,58.040546
0,3570,79.44822,57.275185,56.89232
0,3585,77.90597,56.147804,55.77537
0,3600,76.39649,55.04997,54.687134
0,3615,74.91988,53.979702,53.625908
0,3630,73.476006,52.935635,52.590477
0,3645,72.06456,51.91674,51.579906
0,3660,70.68516,50.922188,50.593414
0,3675,69.33732,49.951267,49.630318
0,3690,68.02051,49.00333,48.69
0,3705,66.73416,48.077793,47.77188
0,3720,65.477684,47.17409,46.875416
0,3735,64.25,46.29135,45.999302
0,3750,63.04832,45.427155,45.141254
0,3765,61.87284,44.581654,44.30205
0,3780,60.723347,43.7549,43.48154
0,3795,59.599453,42.94665,42.67944
