"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Cervicovaginal fluid|Metronidazole|Concentration in container [µmol/l]"
0,0,0,0
0,3,0,0
0,6,0,0
0,9,0,0
0,12,0,0
0,15,9.394E-42,1.4E-44
0,18,8.2292917E-38,1.2971E-40
0,21,1.6145618E-34,2.652009E-37
0,24,2.5518518E-31,4.13824E-34
0,27,3.5789537E-28,7.048302E-31
0,30,2.5699787E-25,6.408342E-28
0,33,4.1304965E-23,1.1049969E-25
0,36,2.8668315E-21,7.7964646E-24
0,39,2.3805723E-19,6.661758E-22
0,42,2.4777737E-17,8.8197415E-20
0,45,1.5327698E-15,6.0313816E-18
0,48,4.507999E-14,1.8379014E-16
0,51,9.943998E-13,4.1429004E-15
0,54,1.51839E-11,6.27149E-14
0,57,1.2106958E-10,4.715313E-13
0,60,1.3525148E-09,4.488188E-12
0,63,1.8108224E-08,5.636745E-11
0,66,2.2854063E-07,7.2549033E-10
0,69,2.5927075E-06,8.56338E-09
0,72,2.6464506E-05,9.118397E-08
0,75,0.00024488458,8.7966384E-07
0,78,0.0020698784,7.743358E-06
0,81,0.01607839,6.2597726E-05
0,84,0.11482436,0.00046620998
0,87,0.73316824,0.0031601354
0,90,3.621532,0.018061511
0,93,10.345326,0.07255556
0,96,17.71567,0.19339912
0,99,23.604404,0.3878052
0,102,28.018114,0.6517189
0,105,31.340916,0.97677964
0,108,33.89732,1.3533763
0,111,35.90876,1.7720405
0,114,37.519417,2.2240825
0,117,38.823406,2.7018065
0,120,39.88461,3.1985638
0,135,42.81863,5.799267
0,150,43.571148,8.336623
0,165,43.375034,10.65895
0,180,42.777534,12.73616
0,195,42.021072,14.580783
0,210,41.20213,16.216059
0,225,40.364,17.664545
0,240,39.53051,18.945894
0,255,38.71164,20.076904
0,270,37.912132,21.072006
0,285,37.13434,21.943798
0,300,36.379375,22.70346
0,315,35.647675,23.36106
0,330,34.93924,23.925722
0,345,34.253807,24.40579
0,360,33.59092,24.808893
0,375,32.95,25.142033
0,390,32.330376,25.411634
0,405,31.731316,25.623598
0,420,31.152052,25.783339
0,435,30.591154,25.895815
0,450,30.04567,25.965487
0,465,29.51575,25.996368
0,480,29.000984,25.992176
0,495,28.498758,25.956316
0,510,28.005627,25.89172
0,525,27.522367,25.800993
0,540,27.048737,25.686586
0,555,26.584393,25.550766
0,570,26.129026,25.39562
0,585,25.682343,25.223078
0,600,25.244059,25.034908
0,615,24.813904,24.832748
0,630,24.391624,24.61809
0,645,23.97698,24.392313
0,660,23.56974,24.15668
0,675,23.169683,23.91235
0,690,22.776602,23.660387
0,705,22.390299,23.40177
0,720,22.010584,23.13739
0,735,21.637264,22.868067
0,750,21.269997,22.594547
0,765,20.908754,22.317503
0,780,20.553543,22.037567
0,795,20.204441,21.755318
0,810,23.484903,21.489359
0,825,50.908264,22.16387
0,840,59.150436,24.103033
0,855,61.779682,26.422373
0,870,62.22936,28.679407
0,885,61.733257,30.722376
0,900,60.839195,32.52128
0,915,59.779823,34.088608
0,930,58.658527,35.447132
0,945,57.525326,36.619587
0,960,56.401485,37.625973
0,975,55.296745,38.48336
0,990,54.215767,39.20638
0,1005,53.16081,39.807804
0,1020,52.13291,40.29897
0,1035,51.132385,40.690075
0,1050,50.155785,40.99031
0,1065,49.201885,41.207855
0,1080,48.271404,41.35019
0,1095,47.364136,41.424232
0,1110,46.479767,41.436367
0,1125,45.61792,41.392487
