"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Cervicovaginal fluid|Metronidazole|Concentration in container [µmol/l]"
0,0,0,0
0,3,0,0
0,6,0,0
0,9,0,0
0,12,0,0
0,15,9.396E-42,1.4E-44
0,18,8.229602E-38,1.29714E-40
0,21,1.6535981E-34,2.7115585E-37
0,24,2.1542662E-31,3.4190087E-34
0,27,3.5905302E-28,7.168063E-31
0,30,2.6878964E-25,6.800004E-28
0,33,3.0935878E-23,8.111038E-26
0,36,3.4285905E-21,9.218967E-24
0,39,2.0367483E-19,5.612119E-22
0,42,4.1059416E-17,1.5367015E-19
0,45,1.9316199E-15,7.562021E-18
0,48,4.5519503E-14,1.8575614E-16
0,51,9.534183E-13,3.937381E-15
0,54,9.0757705E-12,3.5667646E-14
0,57,1.00175424E-10,3.4190904E-13
0,60,1.3173502E-09,4.1207294E-12
0,63,1.8053697E-08,5.559175E-11
0,66,2.2857503E-07,7.245046E-10
0,69,2.5942854E-06,8.568058E-09
0,72,2.646433E-05,9.1192256E-08
0,75,0.0002448195,8.794203E-07
0,78,0.0020692893,7.740477E-06
0,81,0.0160744,6.257574E-05
0,84,0.11480225,0.00046607153
0,87,0.73311937,0.0031595398
0,90,3.6217408,0.018061183
0,93,10.345347,0.07255638
0,96,17.715233,0.19339815
0,99,23.603287,0.38779905
0,102,28.01669,0.6517017
0,105,31.339195,0.9767473
0,108,33.895283,1.3533227
0,111,35.906677,1.7719662
0,114,37.517086,2.22398
0,117,38.820732,2.7016737
0,120,39.881863,3.1983988
0,135,42.815098,5.79893
0,150,43.5672,8.336076
0,165,43.37107,10.658172
0,180,42.77348,12.735171
0,195,42.01694,14.579596
0,210,41.197945,16.214687
0,225,40.359783,17.663002
0,240,39.526276,18.94419
0,255,38.70739,20.07505
0,270,37.90787,21.070013
0,285,37.130066,21.941675
0,300,36.375095,22.701218
0,315,35.643387,23.358704
0,330,34.934948,23.923264
0,345,34.24951,24.403233
0,360,33.586628,24.806246
0,375,32.945705,25.139301
0,390,32.326084,25.408827
0,405,31.727024,25.620718
0,420,31.147766,25.780392
0,435,30.58688,25.892807
0,450,30.041399,25.962421
0,465,29.511486,25.993252
0,480,28.996723,25.989012
0,495,28.494518,25.953108
0,510,28.001387,25.88847
0,525,27.518139,25.79771
0,540,27.044512,25.683271
0,555,26.580177,25.54742
0,570,26.124825,25.392246
0,585,25.678152,25.219679
0,600,25.239883,25.031487
0,615,24.809744,24.829304
0,630,24.387482,24.614628
0,645,23.972857,24.388834
0,660,23.565634,24.153189
0,675,23.165596,23.908846
0,690,22.772535,23.656876
0,705,22.386253,23.398249
0,720,22.006561,23.133863
0,735,21.633263,22.864538
0,750,21.26602,22.591015
0,765,20.904802,22.313972
0,780,20.549616,22.034039
0,795,20.200539,21.751793
0,810,23.481003,21.485838
0,825,50.903793,22.160334
0,840,59.144962,24.099434
0,855,61.773655,26.4187
0,870,62.223286,28.675611
0,885,61.727055,30.71845
0,900,60.83289,32.517227
0,915,59.773457,34.084442
0,930,58.65211,35.442856
0,945,57.51887,36.6152
0,960,56.395004,37.621487
0,975,55.290245,38.47878
0,990,54.20925,39.20171
0,1005,53.15428,39.803055
0,1020,52.126377,40.294147
0,1035,51.12584,40.68518
0,1050,50.149254,40.985348
0,1065,49.19536,41.202835
0,1080,48.26488,41.34511
0,1095,47.357624,41.4191
0,1110,46.473267,41.43119
0,1125,45.611435,41.387268
