"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Myometrium|Metronidazole|Tissue [µmol/l]","Organism|Endometrium|Metronidazole|Tissue [µmol/l]"
0,0,0,0,0
0,3,20.963367,13.760357,41.689278
0,6,42.533253,31.188322,60.342377
0,9,60.93424,47.72145,74.66642
0,12,76.73684,62.56642,86.61451
0,15,90.800514,75.78315,97.255714
0,18,103.79205,87.68525,107.14333
0,21,111.11125,95.69329,98.19522
0,24,99.58937,89.23842,77.06557
0,27,90.77567,81.59731,69.06465
0,30,84.862274,74.885735,64.4188
0,33,81.149445,69.6272,61.601192
0,36,78.8487,65.70468,59.770763
0,39,77.392746,62.83217,58.493214
0,42,76.426025,60.7274,57.537674
0,45,75.73779,59.163464,56.776085
0,48,75.20726,57.972813,56.137207
0,51,74.76603,57.037834,55.579723
0,54,74.37523,56.278038,55.07904
0,57,74.01216,55.63916,54.619446
0,60,73.66467,55.084835,54.19139
0,63,73.32665,54.590973,53.78896
0,66,72.994736,54.141853,53.407875
0,69,72.66641,53.726753,53.044537
0,72,72.33989,53.337906,52.696045
0,75,72.01429,52.969734,52.360306
0,78,71.6893,52.618294,52.035748
0,81,71.36497,52.28084,51.721138
0,84,71.041466,51.95552,51.415443
0,87,70.71861,51.640812,51.117588
0,90,70.3962,51.335274,50.826622
0,93,70.07415,51.03767,50.541782
0,96,69.75248,50.746994,50.262436
0,99,69.43131,50.462475,49.98809
0,102,69.1107,50.183502,49.718277
0,105,68.79065,49.909515,49.45255
0,108,68.471176,49.640083,49.190544
0,111,68.15231,49.37478,48.931942
0,114,67.83408,49.11324,48.67646
0,117,67.51653,48.85512,48.423878
0,120,67.19969,48.600136,48.173973
0,135,65.627556,47.364464,46.959064
0,150,64.07832,46.18092,45.791203
0,165,62.555027,45.03856,44.661545
0,180,61.059868,43.930866,43.564972
0,195,59.594296,42.8542,42.498425
0,210,58.159172,41.806335,41.45992
0,225,56.754982,40.78547,40.447914
0,240,55.3819,39.7902,39.461178
0,255,54.039875,38.81955,38.49878
0,270,52.72865,37.872826,37.560017
0,285,51.447895,36.94924,36.64416
0,300,50.19713,36.048298,35.750675
0,315,48.975853,35.16929,34.87892
0,330,47.783543,34.31162,34.028316
0,345,46.619614,33.474728,33.198315
0,360,45.483498,32.65809,32.388397
0,375,44.374615,31.86121,31.598074
0,390,43.292374,31.083618,30.826876
0,405,42.23618,30.324858,30.074352
0,420,41.205463,29.584467,29.34005
0,435,40.199627,28.86202,28.62354
0,450,39.21811,28.157091,27.924406
0,465,38.26034,27.469254,27.242228
0,480,37.325764,26.798119,26.57661
0,495,36.413845,26.143272,25.927153
0,510,35.52404,25.50434,25.293476
0,525,34.655846,24.880932,24.675203
0,540,33.808743,24.272688,24.071968
0,555,32.982235,23.679241,23.483412
0,570,32.175835,23.100243,22.909185
0,585,31.38907,22.535345,22.348948
0,600,30.621471,21.984217,21.802364
0,615,29.872583,21.446526,21.269112
0,630,29.141956,20.921951,20.748869
0,645,28.429157,20.410181,20.241327
0,660,27.733757,19.910908,19.74618
0,675,27.05534,19.423832,19.263132
0,690,26.3935,18.948662,18.791891
0,705,25.747833,18.485107,18.332172
0,720,25.117958,18.032892,17.883701
0,735,24.50349,17.591745,17.446205
0,750,23.904064,17.161396,17.019423
0,765,23.319307,16.741585,16.603088
0,780,22.748875,16.332056,16.196955
0,795,22.192421,15.932568,15.800778
0,810,21.649607,15.542873,15.414316
0,825,21.120098,15.162733,15.03733
0,840,20.603577,14.791919,14.669593
0,855,20.09973,14.430206,14.310883
0,870,19.60825,14.0773735,13.9609785
0,885,19.128834,13.733203,13.619666
0,900,18.66119,13.397485,13.286737
0,915,18.205032,13.070015,12.961988
0,930,17.76008,12.750591,12.64522
0,945,17.326065,12.439019,12.336237
0,960,16.902714,12.135105,12.03485
0,975,16.48977,11.838662,11.740872
0,990,16.08698,11.549509,11.454124
0,1005,15.694095,11.2674675,11.174429
0,1020,15.310872,10.992363,10.901613
0,1035,14.937076,10.724026,10.635509
0,1050,14.5724745,10.462291,10.375952
0,1065,14.216845,10.206996,10.122782
0,1080,13.869966,9.957984,9.875843
0,1095,13.531624,9.715101,9.634982
0,1110,13.20161,9.478197,9.40005
0,1125,12.879719,9.247125,9.170902
0,1140,12.565753,9.021741,8.947395
0,1155,12.259516,8.801908,8.729392
0,1170,11.96082,8.587486,8.516757
0,1185,11.669478,8.3783455,8.309358
0,1200,11.385311,8.174355,8.107066
0,1215,11.108141,7.975387,7.9097557
0,1230,10.837797,7.7813196,7.717304
0,1245,10.57411,7.5920315,7.5295925
0,1260,10.316917,7.407405,7.3465037
0,1275,10.066057,7.227325,7.1679235
0,1290,9.821376,7.051679,6.9937406
0,1305,9.582719,6.880359,6.8238473
0,1320,9.349939,6.7132573,6.6581373
0,1335,9.122891,6.55027,6.496507
0,1350,8.901433,6.391296,6.3388567
0,1365,8.685429,6.236236,6.1850877
0,1380,8.474741,6.0849934,6.0351043
0,1395,8.26924,5.9374733,5.8888125
0,1410,8.068798,5.793585,5.746122
0,1425,7.8732896,5.653238,5.606943
0,1440,7.682593,5.516345,5.4711895
