"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Cervicovaginal fluid|Metronidazole|Concentration in container [µmol/l]"
0,0,0,0
0,3,0,0
0,6,0,0
0,9,0,0
0,12,0,0
0,15,9.392E-42,1.4E-44
0,18,8.226367E-38,1.29664E-40
0,21,1.6139976E-34,2.6510782E-37
0,24,2.5509556E-31,4.1367814E-34
0,27,3.5777885E-28,7.045998E-31
0,30,2.5692174E-25,6.4064374E-28
0,33,4.1293072E-23,1.1046778E-25
0,36,2.8660116E-21,7.794229E-24
0,39,2.3798994E-19,6.659869E-22
0,42,2.4771363E-17,8.8174804E-20
0,45,1.5323931E-15,6.0298944E-18
0,48,4.506907E-14,1.8374547E-16
0,51,9.94161E-13,4.141902E-15
0,54,1.5180234E-11,6.2699744E-14
0,57,1.2103926E-10,4.714151E-13
0,60,1.3521518E-09,4.4870106E-12
0,63,1.810331E-08,5.6352176E-11
0,66,2.2847948E-07,7.252948E-10
0,69,2.5920258E-06,8.561108E-09
0,72,2.6457672E-05,9.1160196E-08
0,75,0.00024482244,8.7943835E-07
0,78,0.0020693617,7.741406E-06
0,81,0.016074443,6.25822E-05
0,84,0.114796676,0.00046609627
0,87,0.7329967,0.0031593817
0,90,3.620755,0.018057417
0,93,10.343538,0.072540924
0,96,17.713299,0.1933655
0,99,23.60182,0.3877463
0,102,28.015457,0.65163046
0,105,31.33822,0.97665894
0,108,33.894577,1.353221
0,111,35.90595,1.7718496
0,114,37.516506,2.2238545
0,117,38.820324,2.7015407
0,120,39.881424,3.19826
0,135,42.814804,5.798768
0,150,43.56684,8.335899
0,165,43.370335,10.657981
0,180,42.77243,12.7349415
0,195,42.015587,14.579308
0,210,41.196262,16.214321
0,225,40.3578,17.662542
0,240,39.524,18.943623
0,255,38.704834,20.074368
0,270,37.90505,21.069206
0,285,37.12699,21.940735
0,300,36.371777,22.700138
0,315,35.639835,23.35748
0,330,34.93118,23.92189
0,345,34.245537,24.40171
0,360,33.582455,24.80457
0,375,32.94135,25.137472
0,390,32.321552,25.406841
0,405,31.722326,25.61858
0,420,31.142912,25.7781
0,435,30.581879,25.890362
0,450,30.03626,25.959827
0,465,29.506216,25.99051
0,480,28.991333,25.986126
0,495,28.489008,25.95008
0,510,27.995779,25.885305
0,525,27.51243,25.794409
0,540,27.038713,25.679838
0,555,26.574293,25.543858
0,570,26.118862,25.388561
0,585,25.672117,25.215874
0,600,25.23378,25.027567
0,615,24.803577,24.825274
0,630,24.38126,24.61049
0,645,23.966581,24.384596
0,660,23.55931,24.14885
0,675,23.159231,23.904415
0,690,22.766132,23.652355
0,705,22.379816,23.393644
0,720,22.000093,23.129179
0,735,21.62677,22.859774
0,750,21.259504,22.586178
0,765,20.898268,22.309067
0,780,20.543066,22.029066
0,795,20.193977,21.74676
0,810,23.47368,21.480742
0,825,50.89552,22.155088
0,840,59.136467,24.09402
0,855,61.765526,26.413128
0,870,62.21482,28.669893
0,885,61.71828,30.712597
0,900,60.82381,32.511223
0,915,59.7641,34.078278
0,930,58.642487,35.436527
0,945,57.50899,36.608704
0,960,56.384876,37.614815
0,975,55.279884,38.47193
0,990,54.19867,39.194683
0,1005,53.143497,39.79585
0,1020,52.1154,40.28676
0,1035,51.1147,40.677612
0,1050,50.137928,40.977608
0,1065,49.183884,41.19492
0,1080,48.25326,41.337025
0,1095,47.34587,41.410847
0,1110,46.46139,41.42277
0,1125,45.59945,41.37869
