"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Levonorgestrel 1|Sum_LNG_species [µmol/l]","Organism|Fat|Levonorgestrel 1|Tissue [µmol/l]","Organism|Vagina|Levonorgestrel 1|Tissue [µmol/l]","Organism|Cervix|Levonorgestrel 1|Tissue [µmol/l]","Organism|Myometrium|Levonorgestrel 1|Tissue [µmol/l]","Organism|Endometrium|Levonorgestrel 1|Tissue [µmol/l]"
0,820.8,0.0009342665,0.004076006,0.000740693,0.000744369,0.003564854,0.007093004
0,835.2,0.0009235334,0.004058667,0.0007315457,0.00073509733,0.0035123902,0.007002206
0,849.6,0.00091310724,0.004040959,0.0007226807,0.0007261146,0.003461844,0.006914329
0,864,0.0009029743,0.0040229065,0.0007140849,0.0007174071,0.0034131214,0.0068292352
0,878.4,0.00089312094,0.0040045367,0.000705745,0.0007089613,0.0033661276,0.006746784
0,892.8,0.0008835328,0.0039858744,0.00069764786,0.0007007635,0.0033207603,0.0066668293
0,907.2,0.00087419816,0.0039669424,0.0006897822,0.0006928022,0.0032769402,0.0065892525
0,921.6,0.00086510566,0.003947762,0.00068213727,0.0006850663,0.0032345895,0.00651394
0,936,0.000856243,0.003928355,0.0006747015,0.00067754404,0.0031936232,0.006440769
0,950.4,0.0008476004,0.00390874,0.00066746597,0.00067022606,0.0031539747,0.006369645
0,964.8,0.00083916815,0.003888935,0.0006604216,0.00066310336,0.00311558,0.006300476
0,979.2,0.0008309361,0.0038689591,0.0006535586,0.00065616565,0.0030783685,0.006233156
0,993.6,0.00082289556,0.003848828,0.0006468691,0.000649405,0.0030422842,0.006167606
0,1008,0.00081503857,0.003828556,0.00064034574,0.00064281386,0.0030072734,0.006103749
0,1022.4,0.0008073565,0.0038081596,0.0006339801,0.00063638366,0.0029732778,0.0060414975
0,1036.8,0.0007998419,0.0037876521,0.0006277654,0.00063010736,0.0029402496,0.0059807803
0,1051.2,0.00079248793,0.0037670461,0.00062169525,0.0006239785,0.0029081441,0.0059215333
0,1065.6,0.00078528817,0.0037463536,0.0006157635,0.0006179908,0.0028769195,0.0058636935
0,1080,0.00077823544,0.003725587,0.0006099636,0.0006121375,0.0028465285,0.005807191
0,1094.4,0.0007713236,0.003704758,0.0006042897,0.0006064126,0.0028169309,0.005751965
0,1108.8,0.0007645472,0.003683876,0.00059873663,0.0006008108,0.002788092,0.005697963
0,1123.2,0.00075790077,0.003662951,0.0005932994,0.00059532694,0.0027599775,0.005645131
0,1137.6,0.0007513789,0.0036419928,0.000587973,0.0005899559,0.0027325521,0.0055934195
0,1152,0.00074497645,0.0036210106,0.0005827525,0.0005846928,0.0027057824,0.005542778
0,1166.4,0.0007386887,0.0036000123,0.00057763373,0.0005795331,0.002679639,0.0054931603
0,1180.8,0.000732511,0.0035790063,0.00057261233,0.00057447253,0.0026540924,0.0054445225
0,1195.2,0.0007264392,0.0035579999,0.0005676844,0.000569507,0.002629116,0.0053968243
0,1209.6,0.0007204694,0.0035369997,0.00056284637,0.000564633,0.002604686,0.0053500305
0,1224,0.00071459747,0.003516013,0.0005580946,0.00055984664,0.0025807768,0.005304103
0,1238.4,0.0007088198,0.003495046,0.0005534255,0.00055514445,0.002557365,0.0052590054
0,1252.8,0.0007031327,0.0034741047,0.0005488361,0.00055052317,0.0025344288,0.0052147065
