"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,33.251865
0,6,65.87115
0,9,92.87396
0,12,115.66073
0,15,135.81122
0,18,121.157875
0,21,106.20398
0,24,96.32915
0,27,90.36287
0,30,86.84306
0,33,84.73824
0,36,83.423195
0,39,82.54227
0,42,81.89684
0,45,81.37949
0,48,80.93124
0,51,80.520325
0,54,80.12935
0,57,79.74863
0,60,79.37329
0,63,79.00101
0,66,78.63034
0,69,78.26029
0,72,77.890396
0,75,77.520355
0,78,77.1503
0,81,76.780525
0,84,76.411156
0,87,76.04221
0,90,75.67364
0,93,75.30546
0,96,74.937805
0,99,74.57079
0,102,74.204475
0,105,73.838936
0,108,73.47425
0,111,73.11045
0,114,72.74762
0,117,72.38577
0,120,72.02497
0,135,70.237885
0,150,68.48208
0,165,66.76056
0,180,65.075096
0,195,63.426754
0,210,61.81604
0,225,60.243076
0,240,58.707676
0,255,57.209454
0,270,55.747894
0,285,54.3224
0,300,52.932312
0,315,51.57694
0,330,50.255547
0,345,48.967384
0,360,47.71169
0,375,46.487705
0,390,45.29469
0,405,44.131897
0,420,42.998608
0,435,41.894115
0,450,40.81772
0,465,39.76873
0,480,38.746483
0,495,37.750313
0,510,36.779575
0,525,35.83364
0,540,34.911892
0,555,34.013725
0,570,33.138554
0,585,32.2858
0,600,31.454908
0,615,30.645329
0,630,29.856525
0,645,29.08798
0,660,28.33918
0,675,27.60963
0,690,26.898848
0,705,26.206354
0,720,25.531689
0,735,24.874401
0,750,24.234049
0,765,23.610205
0,780,23.002449
0,795,22.410372
0,810,21.833572
0,825,21.271664
0,840,20.724268
0,855,20.191011
0,870,19.671534
0,885,19.165485
0,900,18.67252
0,915,18.192305
0,930,17.724512
0,945,17.268824
0,960,16.824928
0,975,16.392525
0,990,15.971315
0,1005,15.561015
0,1020,15.161342
0,1035,14.772022
0,1050,14.392788
0,1065,14.023382
0,1080,13.663549
0,1095,13.313042
0,1110,12.97162
0,1125,12.639049
0,1140,12.3151
0,1155,11.999549
0,1170,11.69218
0,1185,11.39278
0,1200,11.101145
0,1215,10.817071
0,1230,10.540363
0,1245,10.270831
0,1260,10.008287
0,1275,9.752552
0,1290,9.503447
0,1305,9.260801
0,1320,9.0244465
0,1335,8.794219
0,1350,8.56996
0,1365,8.351514
0,1380,8.138729
0,1395,7.9314594
0,1410,7.729561
0,1425,7.532893
0,1440,7.341321
