"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Myometrium|Metronidazole|Tissue [µmol/l]","Organism|Endometrium|Metronidazole|Tissue [µmol/l]"
0,0,0,0,0
0,3,0.05887819,0.03492542,0.19026032
0,6,0.7165296,0.46833414,1.5188022
0,9,2.199342,1.5447105,3.6886961
0,12,4.401884,3.2548504,6.420525
0,15,7.157921,5.4986453,9.480654
0,18,10.2706785,8.121679,12.647537
0,21,13.555637,10.95748,15.753148
0,24,16.860905,13.854868,18.680605
0,27,20.070446,16.68961,21.354034
0,30,23.101276,19.36773,23.72995
0,33,25.898876,21.824297,25.790339
0,36,28.432104,24.019964,27.536303
0,39,30.687756,25.936188,28.981329
0,42,32.66605,27.57054,30.148005
0,45,34.378,28.933235,31.065662
0,48,35.841595,30.043194,31.765623
0,51,37.07871,30.924528,32.278965
0,54,38.112778,31.603712,32.635075
0,57,38.96737,32.10773,32.86081
0,60,39.665123,32.46265,32.980083
0,63,40.227043,32.69263,33.01368
0,66,40.672222,32.819515,32.979378
0,69,41.017742,32.862637,32.89218
0,72,41.278637,32.838753,32.764565
0,75,41.467983,32.762108,32.606762
0,78,41.597076,32.64468,32.4271
0,81,41.675613,32.496433,32.232285
0,84,41.711887,32.32556,32.027626
0,87,41.71293,32.138718,31.817307
0,90,41.684685,31.941217,31.604563
0,93,41.63216,31.737259,31.391855
0,96,41.559566,31.530123,31.181013
0,99,41.47043,31.322332,30.97336
0,102,41.3677,31.11579,30.769833
0,105,41.253838,30.911898,30.571053
0,108,41.130905,30.711649,30.377388
0,111,41.000603,30.515718,30.18902
0,114,40.86435,30.324533,30.005991
0,117,40.723324,30.138329,29.828243
0,120,40.578503,29.957188,29.65563
0,135,39.820534,29.123667,28.860363
0,150,39.03358,28.383566,28.146702
0,165,38.245632,27.71119,27.49411
0,180,37.469364,27.08851,26.885891
0,195,36.710033,26.502764,26.311155
0,210,35.970158,25.946012,25.763323
0,225,35.25101,25.413477,25.238434
0,240,34.553177,24.902205,24.734003
0,255,33.876842,24.410276,24.248371
0,270,33.2219,23.936335,23.780315
0,285,32.58805,23.479324,23.328867
0,300,31.974852,23.038368,22.89319
0,315,31.381754,22.612688,22.472532
0,330,30.808134,22.201565,22.066193
0,345,30.253328,21.804321,21.67351
0,360,29.716629,21.420313,21.293844
0,375,29.196333,21.04818,20.9252
0,390,28.690056,20.685741,20.566072
0,405,28.19801,20.333319,20.217007
0,420,27.71978,19.99076,19.877674
0,435,27.25167,19.655207,19.543732
0,450,26.79204,19.324938,19.215437
0,465,26.341364,19.000755,18.89332
0,480,25.899393,18.682674,18.577261
0,495,32.634384,23.877195,27.762608
0,510,48.18683,37.469357,41.74097
0,525,59.07743,46.761147,48.801025
0,540,63.98034,50.01481,50.44043
0,555,65.40278,50.040253,49.793667
0,570,65.24013,48.9455,48.515896
0,585,64.4199,47.63285,47.196163
0,600,63.349728,46.38934,45.990833
0,615,62.195385,45.265743,44.906357
0,630,61.02227,44.244526,43.91481
0,645,59.852512,43.29554,42.98639
0,660,58.697792,42.39863,42.104748
0,675,57.56338,41.54105,41.258976
0,690,56.451717,40.71483,40.442467
0,705,55.364075,39.91519,39.65128
0,720,54.30111,39.139263,38.883022
0,735,53.26312,38.385223,38.136154
0,750,52.250168,37.65186,37.409607
0,765,51.262157,36.938282,36.70257
0,780,50.29886,36.243786,36.014393
0,795,49.359962,35.567772,35.344505
0,810,48.445084,34.909706,34.692387
0,825,47.5538,34.269093,34.057552
0,840,46.684937,33.644928,33.43856
0,855,45.836433,33.035378,32.833607
0,870,45.006077,32.438545,32.241043
0,885,44.194283,31.854868,31.661839
0,900,43.401005,31.284534,31.096037
0,915,42.626038,30.727446,30.543257
0,930,41.869102,30.183407,30.003593
0,945,41.12992,29.652208,29.4766
0,960,40.40451,29.13073,28.957598
0,975,46.865242,34.127953,37.950054
0,990,62.160713,47.537212,51.74893
0,1005,72.800385,56.650608,58.6309
0,1020,77.454414,59.725945,60.092102
0,1035,78.629555,59.57332,59.266865
0,1050,78.21333,58.2945,57.803406
0,1065,77.14329,56.800076,56.303112
0,1080,75.82545,55.376842,54.918484
0,1095,74.42454,54.07433,53.65525
0,1110,73.00607,52.874912,52.48623
0,1125,71.59636,51.752052,51.385506
0,1140,70.206314,50.68515,50.335014
0,1155,68.84077,49.660767,49.32346
0,1170,67.502,48.6707,48.34407
0,1185,66.19114,47.71004,47.392788
0,1200,64.90872,46.775803,46.467113
0,1215,63.65492,45.866074,45.56542
0,1230,62.4297,44.97956,44.686554
0,1245,61.232853,44.1153,43.829647
0,1260,60.06408,43.272526,42.993988
0,1275,58.92298,42.45059,42.17896
0,1290,57.80912,41.64891,41.383995
0,1305,56.722015,40.86696,40.608585
0,1320,55.661163,40.104244,39.85224
0,1335,54.62556,39.359955,39.113735
0,1350,53.612495,38.631702,38.390812
0,1365,52.622234,37.919712,37.684315
0,1380,51.654648,37.224087,36.994144
0,1395,50.709423,36.544636,36.32007
0,1410,49.78621,35.881104,35.661823
0,1425,48.884647,35.233227,35.019135
0,1440,48.002617,34.59942,34.38921
0,1455,54.31238,39.48849,43.275833
0,1470,69.46628,52.797222,56.97605
0,1485,79.968285,61.812916,63.76069
0,1500,84.48653,64.79124,65.12507
0,1515,85.52743,64.5422,64.203445
0,1530,84.978455,63.167633,62.64494
0,1545,83.77862,61.57965,61.051815
0,1560,82.3338,60.065018,59.576443
0,1575,80.80861,58.67306,58.224422
0,1590,79.26855,57.386147,56.968548
0,1605,77.73986,56.177704,55.782875
0,1620,76.23343,55.027084,54.64928
0,1635,74.75401,53.920807,53.55643
0,1650,73.303856,52.850624,52.497513
0,1665,71.88402,51.81159,51.468426
0,1680,70.49498,50.80067,50.466633
0,1695,69.13687,49.81592,49.490463
0,1710,67.80959,48.856007,48.538734
0,1725,66.51289,47.919926,47.610535
0,1740,65.246414,47.006878,46.705112
0,1755,64.00971,46.116177,45.82181
0,1770,62.802303,45.247208,44.960045
0,1785,61.62365,44.399406,44.11926
0,1800,60.473198,43.572247,43.298935
0,1815,59.349903,42.76487,42.497795
0,1830,58.25102,41.974884,41.71358
0,1845,57.176758,41.20247,40.94709
0,1860,56.12695,40.447693,40.19819
0,1875,55.101234,39.710335,39.466618
0,1890,54.099224,38.990116,38.752083
0,1905,53.12052,38.286736,38.054287
0,1920,52.163193,37.59877,37.370663
0,1935,58.400505,42.43579,46.206406
0,1950,73.48596,55.695824,59.858604
0,1965,83.92055,64.66343,66.59517
0,1980,88.371544,67.59344,67.91113
0,1995,89.34536,67.295944,66.94097
0,2010,88.729546,65.87294,65.33413
0,2025,87.46353,64.237,63.6932
0,2040,85.953156,62.674854,62.17048
0,2055,84.36309,61.235897,60.771637
0,2070,82.75886,59.902508,59.46947
0,2085,81.16672,58.64812,58.238026
0,2100,79.59754,57.45208,57.059185
0,2115,78.05609,56.300888,55.921597
0,2130,76.54459,55.186306,54.818443
0,2145,75.064095,54.103363,53.745613
0,2160,73.615074,53.049026,52.700565
0,2175,72.19765,52.02134,51.681614
0,2190,70.8117,51.01895,50.68757
0,2205,69.45696,50.040855,49.717503
0,2220,68.133064,49.086235,48.770657
0,2235,66.83955,48.1544,47.846367
0,2250,65.57591,47.244717,46.944027
0,2265,64.341606,46.35662,46.06308
0,2280,63.136063,45.489563,45.20299
0,2295,61.958237,44.642693,44.36249
0,2310,60.805344,43.81359,43.539284
0,2325,59.67761,43.002434,42.73418
0,2340,58.574837,42.209293,41.947037
0,2355,57.496666,41.433933,41.177586
0,2370,56.44271,40.67608,40.42554
0,2385,55.41255,39.93542,39.690582
0,2400,54.404263,39.210526,38.970184
0,2415,60.591835,44.011536,47.770493
0,2430,75.63058,57.237953,61.390007
0,2445,86.019394,66.172935,68.09415
0,2460,90.42584,69.07118,69.378235
0,2475,91.35555,68.741974,68.37645
0,2490,90.69639,67.287735,66.73858
0,2505,89.38786,65.62115,65.067215
0,2520,87.83583,64.029,63.51471
0,2535,86.204994,62.560677,62.08671
0,2550,84.560844,61.198555,60.756023
0,2565,82.929634,59.91605,59.496666
0,2580,81.32222,58.692497,58.290512
0,2595,79.743355,57.514385,57.126198
0,2610,78.19523,56.373455,55.996887
0,2625,76.6789,55.264732,54.898464
0,2640,75.19481,54.18517,53.828373
0,2655,73.743065,53.132797,52.784916
0,2670,72.32354,52.106255,51.76689
0,2685,70.93595,51.104527,50.77337
0,2700,69.57991,50.12679,49.80357
0,2715,68.254944,49.17233,48.856823
0,2730,66.96053,48.240517,47.932514
0,2745,65.69612,47.330765,47.03007
0,2760,64.46113,46.442524,46.148956
0,2775,63.25449,45.574932,45.287884
0,2790,62.073414,44.72556,44.444557
0,2805,60.918102,43.894573,43.619766
0,2820,59.788357,43.082027,42.813366
0,2835,58.683804,42.287697,42.02508
0,2850,57.604034,41.51128,41.25461
0,2865,56.548637,40.75247,40.501637
0,2880,55.515697,40.009857,39.76365
0,2895,61.67946,44.793747,48.54719
0,2910,76.69574,58.00417,62.15098
0,2925,87.06268,66.92359,68.83963
0,2940,91.44756,69.80639,70.10832
0,2955,92.35603,69.46192,69.09133
0,2970,91.67585,67.99248,67.4384
0,2985,90.34692,66.31124,65.75245
0,3000,88.77486,64.70469,64.18562
0,3015,87.12433,63.222187,62.74355
0,3030,85.460915,61.8462,61.399086
0,3045,83.81084,60.550114,60.126244
0,3060,82.184944,59.31326,58.90688
0,3075,80.587975,58.12212,57.729626
0,3090,79.022125,56.968433,56.587646
0,3105,77.48844,55.847218,55.47682
0,3120,75.98736,54.755424,54.394585
0,3135,74.518974,53.691074,53.339237
0,3150,73.08315,52.65281,52.30957
0,3165,71.6796,51.639603,51.30465
0,3180,70.307945,50.650623,50.32369
0,3195,68.96768,49.685158,49.366016
0,3210,67.6583,48.742573,48.43101
0,3225,66.37924,47.822277,47.5181
0,3240,65.1299,46.923714,46.626736
0,3255,63.90921,46.046013,45.755627
0,3270,62.714386,45.18675,44.902477
0,3285,61.545612,44.346077,44.068073
0,3300,60.402695,43.524055,43.25226
0,3315,59.285244,42.720444,42.45476
0,3330,58.192852,41.934944,41.675274
0,3345,57.125095,41.167244,40.913475
0,3360,56.080063,40.41593,40.166843
0,3375,62.232162,45.191437,48.942184
0,3390,77.23752,58.39414,62.53841
0,3405,87.5939,67.30609,69.2194
0,3420,91.968056,70.18109,70.48037
0,3435,92.866035,69.829025,69.45598
0,3450,92.17572,68.35237,67.79581
0,3465,90.836655,66.66381,66.10261
0,3480,89.25468,65.0501,64.52869
0,3495,87.59448,63.56065,63.0797
0,3510,85.92158,62.177822,61.728447
0,3525,84.26219,60.875034,60.448944
0,3540,82.627174,59.631607,59.223053
0,3555,81.02126,58.434032,58.03941
0,3570,79.446655,57.27404,56.89117
0,3585,77.90439,56.146645,55.774208
0,3600,76.39489,55.048798,54.68596
0,3615,74.91827,53.978516,53.624718
0,3630,73.47437,52.934437,52.58928
0,3645,72.06291,51.915535,51.578697
0,3660,70.6835,50.920975,50.592197
0,3675,69.33565,49.950043,49.629093
0,3690,68.01882,49.0021,48.68877
0,3705,66.73247,48.076557,47.770645
0,3720,65.47599,47.17285,46.874176
0,3735,64.248314,46.290123,45.998077
0,3750,63.046627,45.42592,45.14002
0,3765,61.87114,44.580414,44.30081
0,3780,60.72164,43.75366,43.480297
0,3795,59.597744,42.945408,42.678192
0,3810,58.499043,42.155365,41.89419
