"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Myometrium|Metronidazole|Tissue [µmol/l]","Organism|Endometrium|Metronidazole|Tissue [µmol/l]"
0,0,0,0,0
0,3,0.058885958,0.03493008,0.19028394
0,6,0.7165872,0.4683725,1.5189147
0,9,2.199474,1.5448062,3.688885
0,12,4.402105,3.2550185,6.4208198
0,15,7.158228,5.4988885,9.481057
0,18,10.271093,8.122017,12.64803
0,21,13.556114,10.957883,15.753649
0,24,16.86144,13.855327,18.681158
0,27,20.071041,16.690125,21.354637
0,30,23.101927,19.368292,23.730589
0,33,25.899576,21.824902,25.791006
0,36,28.432844,24.020601,27.536993
0,39,30.688532,25.936855,28.98204
0,42,32.666862,27.571232,30.148731
0,45,34.378845,28.933954,31.066406
0,48,35.842464,30.043924,31.766376
0,51,37.07958,30.925243,32.27972
0,54,38.113686,31.604458,32.635853
0,57,38.968307,32.108498,32.86161
0,60,39.666058,32.463387,32.98089
0,63,40.227993,32.693367,33.014507
0,66,40.673233,32.820316,32.980236
0,69,41.018787,32.86348,32.893055
0,72,41.27969,32.83958,32.76545
0,75,41.469044,32.76292,32.607666
0,78,41.598175,32.645523,32.42803
0,81,41.676765,32.49734,32.23322
0,84,41.713078,32.326523,32.02856
0,87,41.714146,32.139698,31.818254
0,90,41.685913,31.942186,31.605532
0,93,41.633415,31.73822,31.392855
0,96,41.560856,31.531096,31.182034
0,99,41.47175,31.323328,30.974388
0,102,41.369034,31.116804,30.770859
0,105,41.255184,30.912916,30.572084
0,108,41.132267,30.712675,30.378452
0,111,41.002,30.516762,30.190119
0,114,40.86578,30.3256,30.007109
0,117,40.724785,30.139418,29.829363
0,120,40.57998,29.958296,29.656761
0,135,39.822136,29.124876,28.861597
0,150,39.035286,28.384863,28.148033
0,165,38.247448,27.712572,27.49552
0,180,37.471287,27.089972,26.887373
0,195,36.71205,26.504288,26.3127
0,210,35.97227,25.9476,25.764929
0,225,35.253204,25.41512,25.240093
0,240,34.555454,24.903902,24.735718
0,255,33.879192,24.412025,24.250135
0,270,33.224323,23.938131,23.782127
0,285,32.590538,23.481167,23.330725
0,300,31.977402,23.040257,22.89509
0,315,31.384363,22.614616,22.474474
0,330,30.8108,22.203531,22.068172
0,345,30.256044,21.806326,21.675526
0,360,29.719395,21.42235,21.295895
0,375,29.199146,21.050251,20.927273
0,390,28.692911,20.68784,20.568178
0,405,28.200905,20.335447,20.219143
0,420,27.722698,19.992905,19.87981
0,435,27.254633,19.657381,19.545914
0,450,26.795029,19.327124,19.21764
0,465,26.344385,19.002966,18.895542
0,480,25.902445,18.684908,18.5795
0,495,32.637764,23.879692,27.765242
0,510,48.19058,37.47219,41.743885
0,525,59.081383,46.76414,48.80405
0,540,63.984444,50.01789,50.44354
