"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Cervicovaginal fluid|Metronidazole|Concentration in container [µmol/l]"
0,0,0,0
0,3,0,0
0,6,0,0
0,9,0,0
0,12,0,0
0,15,9.394E-42,1.4E-44
0,18,8.228589E-38,1.29699E-40
0,21,1.6144266E-34,2.6517852E-37
0,24,2.551637E-31,4.1378893E-34
0,27,3.5786776E-28,7.047754E-31
0,30,2.5698004E-25,6.407895E-28
0,33,4.1302192E-23,1.1049222E-25
0,36,2.8666407E-21,7.7959416E-24
0,39,2.380416E-19,6.6613167E-22
0,42,2.4776271E-17,8.819219E-20
0,45,1.5326836E-15,6.0310396E-18
0,48,4.5077498E-14,1.8377988E-16
0,51,9.943453E-13,4.1426713E-15
0,54,1.5183061E-11,6.2711426E-14
0,57,1.2106262E-10,4.7150456E-13
0,60,1.3524308E-09,4.4879152E-12
0,63,1.8107086E-08,5.6363896E-11
0,66,2.285265E-07,7.254449E-10
0,69,2.5925501E-06,8.5628535E-09
0,72,2.6462933E-05,9.117847E-08
0,75,0.00024487032,8.796118E-07
0,78,0.0020697599,7.742908E-06
0,81,0.016077487,6.2594154E-05
0,84,0.114818044,0.00046618388
0,87,0.73312926,0.0031599628
0,90,3.6213572,0.01806058
0,93,10.344935,0.07255227
0,96,17.715172,0.19339171
0,99,23.603874,0.38779244
0,102,28.017572,0.65169996
0,105,31.340364,0.976754
0,108,33.896755,1.3533435
0,111,35.90817,1.7720003
0,114,37.5188,2.2240345
0,117,38.822758,2.7017505
0,120,39.88393,3.1984994
0,135,42.817806,5.7991586
0,150,43.57023,8.336466
0,165,43.374046,10.65874
0,180,42.776493,12.7359
0,195,42.019985,14.580472
0,210,41.20101,16.215698
0,225,40.362846,17.664139
0,240,39.52933,18.94544
0,255,38.710434,20.076406
0,270,37.910904,21.071466
0,285,37.133087,21.943218
0,300,36.378105,22.702843
0,315,35.64638,23.360401
0,330,34.937927,23.92503
0,345,34.25248,24.405064
0,360,33.58958,24.808132
0,375,32.948647,25.141241
0,390,32.329006,25.410812
0,405,31.729933,25.622747
0,420,31.15066,25.78246
0,435,30.589758,25.89491
0,450,30.044262,25.964558
0,465,29.514334,25.995417
0,480,28.99956,25.991201
0,495,28.497326,25.95532
0,510,28.00419,25.890703
0,525,27.52093,25.799961
0,540,27.047287,25.68554
0,555,26.582937,25.5497
0,570,26.12757,25.394539
0,585,25.680883,25.22198
0,600,25.242596,25.033796
0,615,24.81244,24.831621
0,630,24.390163,24.61695
0,645,23.97552,24.391161
0,660,23.56828,24.155518
0,675,23.168224,23.911177
0,690,22.775145,23.659206
0,705,22.388845,23.40058
0,720,22.009132,23.13619
0,735,21.635817,22.866861
0,750,21.268553,22.593334
0,765,20.907316,22.316286
0,780,20.552109,22.036345
0,795,20.20301,21.754093
0,810,23.483305,21.488129
0,825,50.906506,22.162613
0,840,59.147484,24.101746
0,855,61.777107,26.421059
0,870,62.22706,28.678005
0,885,61.730885,30.720926
0,900,60.83676,32.51978
0,915,59.777367,34.087063
0,930,58.656044,35.44554
0,945,57.52282,36.617947
0,960,56.398956,37.62429
0,975,55.2942,38.481636
0,990,54.213207,39.204613
0,1005,53.158234,39.806004
0,1020,52.130325,40.297134
0,1035,51.129772,40.688206
0,1050,50.15318,40.988407
0,1065,49.199272,41.205925
0,1080,48.268784,41.34823
0,1095,47.36151,41.422245
0,1110,46.47714,41.434353
0,1125,45.61529,41.39045
