"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,33.249542
0,6,65.86694
0,9,92.868675
0,12,115.65477
0,15,135.8047
0,18,121.1531
0,21,106.20041
0,24,96.325905
0,27,90.35948
0,30,86.83937
0,33,84.73422
0,36,83.418884
0,39,82.53773
0,42,81.892105
0,45,81.37459
0,48,80.926186
0,51,80.515144
0,54,80.12405
0,57,79.74321
0,60,79.36777
0,63,78.995384
0,66,78.62461
0,69,78.25447
0,72,77.884476
0,75,77.51435
0,78,77.144196
0,81,76.77434
0,84,76.40488
0,87,76.03585
0,90,75.66719
0,93,75.29893
0,96,74.9312
0,99,74.5641
0,102,74.1977
0,105,73.83209
0,108,73.46732
0,111,73.10344
0,114,72.74054
0,117,72.37862
0,120,72.01774
0,135,70.2303
0,150,68.474174
0,165,66.75234
0,180,65.0666
0,195,63.41798
0,210,61.80702
0,225,60.233826
0,240,58.69821
0,255,57.19979
0,270,55.738052
0,285,54.31239
0,300,52.922153
0,315,51.566643
0,330,50.245125
0,345,48.956852
0,360,47.70106
0,375,46.47699
0,390,45.283897
0,405,44.12104
0,420,42.987698
0,435,41.88316
0,450,40.80673
0,465,39.757717
0,480,38.73545
0,495,37.73927
0,510,36.76853
0,525,35.822605
0,540,34.900867
0,555,34.00272
0,570,33.12757
0,585,32.274853
0,600,31.443996
0,615,30.634459
0,630,29.845703
0,645,29.07721
0,660,28.328466
0,675,27.598978
0,690,26.88826
0,705,26.195835
0,720,25.521242
0,735,24.864029
0,750,24.223757
0,765,23.599993
0,780,22.992321
0,795,22.40033
0,810,21.823618
0,825,21.261803
0,840,20.714499
0,855,20.181335
0,870,19.661955
0,885,19.156004
0,900,18.663137
0,915,18.183023
0,930,17.71533
0,945,17.259745
0,960,16.815952
0,975,16.383652
0,990,15.962548
0,1005,15.552353
0,1020,15.152785
0,1035,14.763571
0,1050,14.384443
0,1065,14.015143
0,1080,13.6554165
0,1095,13.305016
0,1110,12.963699
0,1125,12.631235
0,1140,12.307391
0,1155,11.991946
0,1170,11.684682
0,1185,11.385387
0,1200,11.093856
0,1215,10.809886
0,1230,10.533281
0,1245,10.263852
0,1260,10.001411
0,1275,9.745777
0,1290,9.496773
0,1305,9.254228
0,1320,9.017972
0,1335,8.787844
0,1350,8.563682
0,1365,8.345333
0,1380,8.132645
0,1395,7.92547
0,1410,7.7236657
0,1425,7.527092
0,1440,7.3356123
