"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,7.6798584E-05
0,6,0.00055936555
0,9,0.0016909493
0,12,0.0035917172
0,15,0.0063057235
0,18,0.0098361615
0,21,0.014166844
0,24,0.019273525
0,27,0.025130078
0,30,0.031710874
0,33,0.038991977
0,36,0.046951417
0,39,0.055569146
0,42,0.06482682
0,45,0.07470752
0,48,0.08519551
0,51,0.09627595
0,54,0.10793478
0,57,0.120158575
0,60,0.13293444
0,63,0.14624992
0,66,0.16009296
0,69,0.17445187
0,72,0.18931523
0,75,0.20467193
0,78,0.22051102
0,81,0.23682182
0,84,0.25359374
0,87,0.27081648
0,90,0.2884798
0,93,0.3065737
0,96,0.32508838
0,99,0.34401417
0,102,0.36334154
0,105,0.38306123
0,108,0.40316397
0,111,0.42364046
0,114,0.44448203
0,117,0.4656799
0,120,0.48722565
0,135,0.5998769
0,150,0.72000504
0,165,0.8466784
0,180,0.9790393
0,195,1.1163006
0,210,1.2577405
0,225,1.4026978
0,240,1.550567
0,255,1.7007931
0,270,1.852873
0,285,2.006344
0,300,2.1607916
0,315,2.3158338
0,330,2.471127
0,345,2.626357
0,360,2.7812417
0,375,2.9355235
0,390,3.0889742
0,405,3.2413864
0,420,3.3925772
0,435,3.542382
0,450,3.6906555
0,465,3.8372686
0,480,3.9821105
0,495,4.125082
0,510,4.2660956
0,525,4.405072
0,540,4.54196
0,555,4.676703
0,570,4.8092504
0,585,4.939557
0,600,5.0676126
0,615,5.193393
0,630,5.316874
0,645,5.438038
0,660,5.5568957
0,675,5.6734476
0,690,5.7876916
0,705,5.8996334
0,720,6.0092936
0,735,6.1166873
0,750,6.221831
0,765,6.3247437
0,780,6.425452
0,795,6.523982
0,810,6.620358
0,825,6.714607
0,840,6.806761
0,855,6.8947744
0,870,6.964287
0,885,7.013195
0,900,7.044171
0,915,7.059121
0,930,7.0595837
0,945,7.046943
0,960,7.0224586
0,975,6.987288
0,990,6.942506
0,1005,6.8891077
0,1020,6.8280106
0,1035,6.7600603
0,1050,6.6860356
0,1065,6.6066523
0,1080,6.52257
0,1095,6.4343944
0,1110,6.342681
0,1125,6.2479396
0,1140,6.150636
0,1155,6.051198
0,1170,5.950015
0,1185,5.8474426
0,1200,5.743808
0,1215,5.639405
0,1230,5.5345035
0,1245,5.429345
0,1260,5.3241525
0,1275,5.219129
0,1290,5.1144476
0,1305,5.0102754
0,1320,4.906765
0,1335,4.8040385
0,1350,4.7022157
0,1365,4.601408
0,1380,4.501702
0,1395,4.4031777
0,1410,4.305912
0,1425,4.209964
0,1440,4.1153855
0,1455,4.022247
0,1470,3.930549
0,1485,3.8403354
0,1500,3.7516344
0,1515,3.6644645
0,1530,3.5788445
0,1545,3.4947884
0,1560,3.4123044
0,1575,3.3313956
0,1590,3.252062
0,1605,3.1743019
0,1620,3.098109
0,1635,3.0234764
0,1650,2.9503944
0,1665,2.878852
0,1680,2.8088355
0,1695,2.74033
0,1710,2.6733184
0,1725,2.6077852
0,1740,2.5437114
0,1755,2.4810755
0,1770,2.4198546
0,1785,2.3600287
0,1800,2.3015761
0,1815,2.2444737
0,1830,2.1887
0,1845,2.1342318
0,1860,2.0810463
0,1875,2.02912
0,1890,1.9784296
0,1905,1.9289513
0,1920,1.8806611
0,1935,1.8335352
0,1950,1.7875504
0,1965,1.7426828
0,1980,1.6989092
0,1995,1.6562065
0,2010,1.6145514
0,2025,1.5739219
0,2040,1.5342951
0,2055,1.4956489
0,2070,1.4579614
0,2085,1.421211
0,2100,1.3853765
0,2115,1.3504367
0,2130,1.3163712
0,2145,1.2831595
0,2160,1.2507818
0,2175,1.2192181
0,2190,1.1884494
0,2205,1.1584566
0,2220,1.1292211
0,2235,1.1007249
0,2250,1.0729499
0,2265,1.0458789
0,2280,1.0194947
0,2295,0.99378026
0,2310,0.9687194
0,2325,0.94429606
0,2340,0.9204944
0,2355,0.89729893
0,2370,0.87469476
0,2385,0.85266703
0,2400,0.8312013
0,2415,0.8102836
0,2430,0.7899001
0,2445,0.7700374
0,2460,0.75068235
0,2475,0.7318222
0,2490,0.71344435
0,2505,0.6955366
0,2520,0.67808706
0,2535,0.66108406
0,2550,0.6445163
0,2565,0.62837255
0,2580,0.6126421
0,2595,0.59731436
0,2610,0.582379
0,2625,0.56782603
0,2640,0.55364555
0,2655,0.5398281
0,2670,0.5263643
0,2685,0.51324517
0,2700,0.5004617
0,2715,0.48800534
0,2730,0.47586763
0,2745,0.4640404
0,2760,0.45251563
0,2775,0.44128552
0,2790,0.43034247
0,2805,0.41967905
0,2820,0.40928805
0,2835,0.3991624
0,2850,0.3892953
0,2865,0.37968007
0,2880,0.37031016
