"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.0008104281
0,6,0.0059071174
0,9,0.017864197
0,12,0.03795529
0,15,0.06664813
0,18,0.103976294
0,21,0.14976779
0,24,0.20376597
0,27,0.2656924
0,30,0.33527502
0,33,0.41225982
0,36,0.49641374
0,39,0.5875244
0,42,0.6853974
0,45,0.7898538
0,48,0.90072703
0,51,1.0178604
0,54,1.1411053
0,57,1.2703202
0,60,1.405369
0,63,1.5461203
0,66,1.692448
0,69,1.844228
0,72,2.0013416
0,75,2.1636705
0,78,2.331101
0,81,2.503519
0,84,2.6808145
0,87,2.862878
0,90,3.0493927
0,93,3.2375536
0,96,3.424098
0,99,3.607186
0,102,3.786009
0,105,3.9603255
0,108,4.130161
0,111,4.29565
0,114,4.4569764
0,117,4.614322
0,120,4.7678623
0,135,5.4830956
0,150,6.1191907
0,165,6.6839848
0,180,7.183362
0,195,7.6225543
0,210,8.006384
0,225,8.33923
0,240,8.625222
0,255,8.8682575
0,270,9.071935
0,285,9.239579
0,300,9.374283
0,315,9.478917
0,330,9.556147
0,345,9.608436
0,360,9.638055
0,375,9.6471
0,390,9.637512
0,405,9.611081
0,420,9.569463
0,435,9.5141735
0,450,9.44663
0,465,9.368113
0,480,9.279824
0,495,9.182852
0,510,9.078205
0,525,8.966807
0,540,8.849508
0,555,8.727088
0,570,8.600263
0,585,8.4696865
0,600,8.335959
0,615,8.199629
0,630,8.061196
0,645,7.921118
0,660,7.77981
0,675,7.6376524
0,690,7.4949903
0,705,7.352135
0,720,7.2093706
0,735,7.066952
0,750,6.9251103
0,765,6.7840543
0,780,6.643969
0,795,6.5050225
0,810,6.3673635
0,825,6.2311244
0,840,6.096422
0,855,5.96336
0,870,5.8320265
0,885,5.7025013
0,900,5.574852
0,915,5.4491334
0,930,5.325398
0,945,5.2036853
0,960,5.084025
0,975,4.9664474
0,990,4.8509703
0,1005,4.737606
0,1020,4.626365
0,1035,4.5172505
0,1050,4.41026
0,1065,4.3053904
0,1080,4.202633
0,1095,4.1019754
0,1110,4.003405
0,1125,3.9069042
0,1140,3.8124545
0,1155,3.7200353
0,1170,3.629623
0,1185,3.541194
0,1200,3.4547236
0,1215,3.3701832
0,1230,3.2875462
0,1245,3.2067838
0,1260,3.1278658
0,1275,3.0507627
0,1290,2.9754438
0,1305,2.9018774
0,1320,2.830033
0,1335,2.7598789
0,1350,2.691383
0,1365,2.6245139
0,1380,2.5592399
0,1395,2.4955292
0,1410,2.4333506
0,1425,2.3726723
0,1440,2.3134634
0,1455,2.255694
0,1470,2.1993282
0,1485,2.1443386
0,1500,2.0906978
0,1515,2.0383766
0,1530,1.9873446
0,1545,1.9375728
0,1560,1.8890325
0,1575,1.8416953
0,1590,1.7955334
0,1605,1.7505201
0,1620,1.706628
0,1635,1.6638316
0,1650,1.6221046
0,1665,1.5814222
0,1680,1.5417593
0,1695,1.5030913
0,1710,1.4653952
0,1725,1.4286467
0,1740,1.3928236
0,1755,1.3579029
0,1770,1.3238629
0,1785,1.2906821
0,1800,1.2583393
0,1815,1.2268142
0,1830,1.196086
0,1845,1.1661359
0,1860,1.1369439
0,1875,1.1084917
0,1890,1.0807605
0,1905,1.0537324
0,1920,1.0273899
0,1935,1.0017157
0,1950,0.97669345
0,1965,0.95230615
0,1980,0.9285384
0,1995,0.90537417
0,2010,0.8827985
0,2025,0.8607963
0,2040,0.83935314
0,2055,0.81845504
0,2070,0.79808784
0,2085,0.7782385
0,2100,0.7588933
0,2115,0.74003994
0,2130,0.7216656
0,2145,0.7037582
0,2160,0.68630576
0,2175,0.6692966
0,2190,0.6527198
0,2205,0.6365638
0,2220,0.6208182
0,2235,0.6054722
0,2250,0.5905159
0,2265,0.5759392
0,2280,0.56173223
0,2295,0.5478858
0,2310,0.53439033
0,2325,0.5212372
0,2340,0.5084173
0,2355,0.4959223
0,2370,0.48374376
0,2385,0.47187358
0,2400,0.46030393
0,2415,0.4490269
0,2430,0.43803528
0,2445,0.42732143
0,2460,0.41687843
0,2475,0.4066992
0,2490,0.39677706
0,2505,0.38710538
0,2520,0.37767762
0,2535,0.36848775
0,2550,0.3595294
0,2565,0.35079688
0,2580,0.34228417
0,2595,0.33398578
0,2610,0.32589614
0,2625,0.31800988
0,2640,0.31032184
0,2655,0.30282685
0,2670,0.2955201
0,2685,0.28839657
0,2700,0.28145173
0,2715,0.2746809
0,2730,0.26807967
0,2745,0.26164368
0,2760,0.25536862
0,2775,0.24925055
0,2790,0.24328525
0,2805,0.23746896
0,2820,0.23179775
0,2835,0.22626801
0,2850,0.22087604
0,2865,0.21561834
0,2880,0.21049154
