"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,33.25184
0,6,65.872284
0,9,92.87599
0,12,115.66337
0,15,135.81433
0,18,121.1615
0,21,106.206924
0,24,96.33174
0,27,90.36543
0,30,86.84575
0,33,84.7411
0,36,83.426216
0,39,82.54546
0,42,81.90019
0,45,81.38299
0,48,80.93486
0,51,80.52408
0,54,80.13323
0,57,79.752625
0,60,79.37741
0,63,79.00524
0,66,78.63468
0,69,78.26475
0,72,77.894966
0,75,77.52503
0,78,77.15508
0,81,76.785416
0,84,76.416145
0,87,76.04731
0,90,75.67883
0,93,75.31076
0,96,74.94321
0,99,74.576294
0,102,74.21007
0,105,73.84463
0,108,73.48004
0,111,73.116325
0,114,72.753586
0,117,72.39183
0,120,72.03112
0,135,70.24448
0,150,68.48908
0,165,66.76794
0,180,65.08285
0,195,63.434837
0,210,61.82444
0,225,60.251774
0,240,58.71665
0,255,57.21868
0,270,55.75736
0,285,54.332085
0,300,52.9422
0,315,51.587013
0,330,50.265793
0,345,48.977783
0,360,47.72223
0,375,46.498375
0,390,45.30547
0,405,44.14278
0,420,43.00958
0,435,41.905163
0,450,40.828835
0,465,39.779903
0,480,38.757698
0,495,37.761566
0,510,36.790855
0,525,35.844936
0,540,34.9232
0,555,34.025032
0,570,33.149857
0,585,32.29709
0,600,31.466177
0,615,30.65657
0,630,29.867735
0,645,29.099152
0,660,28.350307
0,675,27.62071
0,690,26.909872
0,705,26.217321
0,720,25.542593
0,735,24.885239
0,750,24.244816
0,765,23.6209
0,780,23.013063
0,795,22.420906
0,810,21.844023
0,825,21.28203
0,840,20.734545
0,855,20.201197
0,870,19.681627
0,885,19.175482
0,900,18.68242
0,915,18.202106
0,930,17.734213
0,945,17.278423
0,960,16.834425
0,975,16.401917
0,990,15.980604
0,1005,15.570198
0,1020,15.170418
0,1035,14.780992
0,1050,14.40165
0,1065,14.032136
0,1080,13.6721945
0,1095,13.321579
0,1110,12.980048
0,1125,12.647368
0,1140,12.323311
0,1155,12.007651
0,1170,11.700173
0,1185,11.400666
0,1200,11.108922
0,1215,10.82474
0,1230,10.547926
0,1245,10.278287
0,1260,10.015637
0,1275,9.759795
0,1290,9.510586
0,1305,9.267836
0,1320,9.031377
0,1335,8.801046
0,1350,8.576684
0,1365,8.358136
0,1380,8.145251
0,1395,7.9378815
0,1410,7.735883
0,1425,7.539118
0,1440,7.347448
